Sample,Treatment,Tooth position
DMSO_1,DMSO,L1
DMSO_1,DMSO,L2
DMSO_1,DMSO,L3
DMSO_1,DMSO,R1
DMSO_1,DMSO,R2
DMSO_1,DMSO,R3
DMSO_3,DMSO,L1
DMSO_3,DMSO,L2
DMSO_3,DMSO,L3
DMSO_3,DMSO,R1
DMSO_3,DMSO,R2
DMSO_3,DMSO,R3
DMSO_4,DMSO,L1
DMSO_4,DMSO,L2
DMSO_4,DMSO,L3
DMSO_4,DMSO,R1
DMSO_4,DMSO,R2
DMSO_4,DMSO,R3
DMSO_5,DMSO,L1
DMSO_5,DMSO,L2
DMSO_5,DMSO,L3
DMSO_5,DMSO,R1
DMSO_5,DMSO,R2
DMSO_5,DMSO,R3
DMSO_6,DMSO,L1
DMSO_6,DMSO,L2
DMSO_6,DMSO,L3
DMSO_6,DMSO,R1
DMSO_6,DMSO,R2
DMSO_6,DMSO,R3
DMSO_7,DMSO,L1
DMSO_7,DMSO,L2
DMSO_7,DMSO,L3
DMSO_7,DMSO,R1
DMSO_7,DMSO,R2
DMSO_7,DMSO,R3
DMSO_8,DMSO,L1
DMSO_8,DMSO,L2
DMSO_8,DMSO,L3
DMSO_8,DMSO,R1
DMSO_8,DMSO,R2
DMSO_8,DMSO,R3
endo_1,IWR-1-endo,L1
endo_1,IWR-1-endo,L2
endo_1,IWR-1-endo,L3
endo_1,IWR-1-endo,R1
endo_1,IWR-1-endo,R2
endo_1,IWR-1-endo,R3
endo_2,IWR-1-endo,L1
endo_2,IWR-1-endo,L2
endo_2,IWR-1-endo,L3
endo_2,IWR-1-endo,R1
endo_2,IWR-1-endo,R2
endo_2,IWR-1-endo,R3
endo_3,IWR-1-endo,L1
endo_3,IWR-1-endo,L2
endo_3,IWR-1-endo,L3
endo_3,IWR-1-endo,R1
endo_3,IWR-1-endo,R2
endo_3,IWR-1-endo,R3
endo_4,IWR-1-endo,L1
endo_4,IWR-1-endo,L2
endo_4,IWR-1-endo,L3
endo_4,IWR-1-endo,R1
endo_4,IWR-1-endo,R2
endo_4,IWR-1-endo,R3
endo_5,IWR-1-endo,L1
endo_5,IWR-1-endo,L2
endo_5,IWR-1-endo,L3
endo_5,IWR-1-endo,R1
endo_5,IWR-1-endo,R2
endo_5,IWR-1-endo,R3
endo_6,IWR-1-endo,L1
endo_6,IWR-1-endo,L2
endo_6,IWR-1-endo,L3
endo_6,IWR-1-endo,R1
endo_6,IWR-1-endo,R2
endo_6,IWR-1-endo,R3
endo_7,IWR-1-endo,L1
endo_7,IWR-1-endo,L2
endo_7,IWR-1-endo,L3
endo_7,IWR-1-endo,R1
endo_7,IWR-1-endo,R2
endo_7,IWR-1-endo,R3
endo_8,IWR-1-endo,L1
endo_8,IWR-1-endo,L2
endo_8,IWR-1-endo,L3
endo_8,IWR-1-endo,R1
endo_8,IWR-1-endo,R2
endo_8,IWR-1-endo,R3
chir_1,CHIR-99021,L1
chir_1,CHIR-99021,L2
chir_1,CHIR-99021,L3
chir_1,CHIR-99021,R1
chir_1,CHIR-99021,R2
chir_1,CHIR-99021,R3
chir_2,CHIR-99021,L1
chir_2,CHIR-99021,L2
chir_2,CHIR-99021,L3
chir_2,CHIR-99021,R1
chir_2,CHIR-99021,R2
chir_2,CHIR-99021,R3
chir_3,CHIR-99021,L1
chir_3,CHIR-99021,L2
chir_3,CHIR-99021,L3
chir_3,CHIR-99021,R1
chir_3,CHIR-99021,R2
chir_3,CHIR-99021,R3
chir_4,CHIR-99021,L1
chir_4,CHIR-99021,L2
chir_4,CHIR-99021,L3
chir_4,CHIR-99021,R1
chir_4,CHIR-99021,R2
chir_4,CHIR-99021,R3
chir_5,CHIR-99021,L1
chir_5,CHIR-99021,L2
chir_5,CHIR-99021,L3
chir_5,CHIR-99021,R1
chir_5,CHIR-99021,R2
chir_5,CHIR-99021,R3
chir_6,CHIR-99021,L1
chir_6,CHIR-99021,L2
chir_6,CHIR-99021,L3
chir_6,CHIR-99021,R1
chir_6,CHIR-99021,R2
chir_6,CHIR-99021,R3
chir_7,CHIR-99021,L1
chir_7,CHIR-99021,L2
chir_7,CHIR-99021,L3
chir_7,CHIR-99021,R1
chir_7,CHIR-99021,R2
chir_7,CHIR-99021,R3
chir_8,CHIR-99021,L1
chir_8,CHIR-99021,L2
chir_8,CHIR-99021,L3
chir_8,CHIR-99021,R1
chir_8,CHIR-99021,R2
chir_8,CHIR-99021,R3